Date,Daily_Demand
4/3/2022,17
4/4/2022,22
4/5/2022,21
4/6/2022,25
4/7/2022,25
4/8/2022,23
4/9/2022,20
4/10/2022,19
4/11/2022,21
4/12/2022,17
4/13/2022,25
4/14/2022,15
4/15/2022,20
4/16/2022,32
4/17/2022,13
4/18/2022,21
4/19/2022,19
4/20/2022,26
4/21/2022,27
4/22/2022,19
4/23/2022,22
4/24/2022,17
4/25/2022,26
4/26/2022,22
4/27/2022,26
4/28/2022,25
4/29/2022,32
4/30/2022,33
5/1/2022,15
5/2/2022,21
5/3/2022,29
5/4/2022,19
5/5/2022,28
5/6/2022,34
5/7/2022,31
5/8/2022,24
5/9/2022,32
5/10/2022,17
5/11/2022,18
5/12/2022,26
5/13/2022,25
5/14/2022,32
5/15/2022,17
5/16/2022,24
5/17/2022,16
5/18/2022,32
5/19/2022,35
5/20/2022,34
5/21/2022,25
5/22/2022,20
5/23/2022,15
5/24/2022,30
5/25/2022,22
5/26/2022,24
5/27/2022,35
5/28/2022,33
5/29/2022,23
5/30/2022,17
5/31/2022,20
6/1/2022,29
6/2/2022,25
6/3/2022,36
6/4/2022,27
6/5/2022,22
6/6/2022,22
6/7/2022,29
6/8/2022,26
6/9/2022,16
6/10/2022,41
6/11/2022,28
6/12/2022,23
6/13/2022,26
6/14/2022,32
6/15/2022,30
6/16/2022,26
6/17/2022,31
6/18/2022,38
6/19/2022,30
6/20/2022,22
6/21/2022,26
6/22/2022,24
6/23/2022,26
6/24/2022,30
6/25/2022,26
6/26/2022,21
6/27/2022,32
6/28/2022,50
6/29/2022,28
6/30/2022,28
7/1/2022,31
7/2/2022,38
7/3/2022,18
7/4/2022,23
7/5/2022,23
7/6/2022,31
7/7/2022,32
7/8/2022,27
7/9/2022,32
7/10/2022,16
7/11/2022,23
7/12/2022,29
7/13/2022,22
7/14/2022,38
7/15/2022,40
7/16/2022,36
7/17/2022,20
7/18/2022,26
7/19/2022,24
7/20/2022,37
7/21/2022,27
7/22/2022,35
7/23/2022,32
7/24/2022,27
7/25/2022,20
7/26/2022,28
7/27/2022,35
7/28/2022,25
7/29/2022,30
7/30/2022,26
7/31/2022,22
8/1/2022,18
8/2/2022,19
8/3/2022,25
8/4/2022,26
8/5/2022,35
8/6/2022,29
8/7/2022,20
8/8/2022,28
8/9/2022,28
8/10/2022,31
8/11/2022,25
8/12/2022,32
8/13/2022,32
8/14/2022,26
8/15/2022,18
8/16/2022,24
8/17/2022,21
8/18/2022,35
8/19/2022,29
8/20/2022,27
8/21/2022,19
8/22/2022,28
8/23/2022,26
8/24/2022,15
8/25/2022,30
8/26/2022,38
8/27/2022,26
8/28/2022,15
8/29/2022,21
8/30/2022,22
8/31/2022,26
9/1/2022,38
9/2/2022,26
9/3/2022,23
9/4/2022,12
9/5/2022,26
9/6/2022,24
9/7/2022,29
9/8/2022,28
9/9/2022,28
9/10/2022,30
9/11/2022,16
9/12/2022,20
9/13/2022,13
9/14/2022,26
9/15/2022,28
9/16/2022,27
9/17/2022,30
9/18/2022,22
9/19/2022,21
9/20/2022,20
9/21/2022,20
9/22/2022,28
9/23/2022,37
9/24/2022,24
9/25/2022,14
9/26/2022,18
9/27/2022,27
9/28/2022,23
9/29/2022,28
9/30/2022,30
10/1/2022,21
10/2/2022,12
10/3/2022,18
10/4/2022,15
10/5/2022,20
10/6/2022,19
10/7/2022,22
10/8/2022,19
10/9/2022,9
10/10/2022,23
10/11/2022,14
10/12/2022,24
10/13/2022,23
10/14/2022,26
10/15/2022,28
10/16/2022,19
10/17/2022,17
10/18/2022,15
10/19/2022,26
10/20/2022,22
10/21/2022,26
10/22/2022,32
10/23/2022,20
10/24/2022,23
10/25/2022,22
10/26/2022,28
10/27/2022,20
10/28/2022,22
10/29/2022,29
10/30/2022,22
10/31/2022,24
11/1/2022,16
11/2/2022,21
11/3/2022,18
11/4/2022,34
11/5/2022,23
11/6/2022,17
11/7/2022,23
11/8/2022,14
11/9/2022,21
11/10/2022,19
11/11/2022,24
11/12/2022,27
11/13/2022,22
11/14/2022,16
11/15/2022,19
11/16/2022,22
11/17/2022,25
11/18/2022,31
11/19/2022,32
11/20/2022,21
11/21/2022,29
11/22/2022,27
11/23/2022,25
11/24/2022,22
11/25/2022,29
11/26/2022,24
11/27/2022,10
11/28/2022,14
11/29/2022,28
11/30/2022,15
12/1/2022,19
12/2/2022,16
12/3/2022,31
12/4/2022,7
12/5/2022,20
12/6/2022,17
12/7/2022,18
12/8/2022,17
12/9/2022,27
12/10/2022,20
12/11/2022,20
12/12/2022,13
12/13/2022,17
12/14/2022,14
12/15/2022,16
12/16/2022,15
12/17/2022,22
12/18/2022,19
12/19/2022,7
12/20/2022,16
12/21/2022,12
12/22/2022,6
12/23/2022,18
12/24/2022,19
12/25/2022,13
12/26/2022,16
12/27/2022,14
12/28/2022,19
12/29/2022,15
12/30/2022,27
12/31/2022,23
